                                                                                                      Causa  No. muertes
CAUSA_DEF                                                                                                               
I219                                                   Infarto agudo del miocardio, sin otra especificaci�n        99673
E116                                                      Tumor maligno del est�mago, parte no especificada        23109
J189                                                                              Neumon�a, no especificada        22594
E112                       Diabetes mellitus no insulinodependiente, con otras complicaciones especificadas        19006
E117                                     Tumor maligno de los bronquios o del pulm�n, parte no especificada        18006
K746                                                       Otras cirrosis del h�gado y las no especificadas        15527
X954            Agresi�n con disparo de otras armas de fuego, y las no especificadas en calles y carreteras        14643
J449                                                        Tumor maligno de la mama, parte no especificada        13299
K703                                 Diabetes mellitus no insulinodependiente, con complicaciones m�ltiples        10191
E146                                               Enfermedad pulmonar obstructiva cr�nica, no especificada         9454
J440                                                                           Cirrosis hep�tica alcoh�lica         8570
N189                                   Diabetes mellitus no insulinodependiente, con complicaciones renales         8220
I120                                                              Enfermedad renal cr�nica, no especificada         7475
I64X                                                                           Tumor maligno de la pr�stata         7285
C509                                  Diabetes mellitus no insulinodependiente, sin menci�n de complicaci�n         7279
I110       Enfermedad pulmonar obstructiva cr�nica con infecci�n aguda de las v�as respiratorias inferiores         6948
C349                                          Diabetes mellitus no especificada, con complicaciones renales         6761
I10X                              Diabetes mellitus no especificada, con otras complicaciones especificadas         6746
C61X                                        Diabetes mellitus no especificada, con complicaciones m�ltiples         6723
I619                                                                       Hipertensi�n esencial (primaria)         6513
E119                      Accidente vascular encef�lico agudo, no especificado como hemorr�gico o isqu�mico         6442
E142                                                  Enfermedad renal hipertensiva con insuficiencia renal         6266
N390                               Enfermedad card�aca hipertensiva con insuficiencia card�aca (congestiva)         6245
C169                                                     Infecci�n de v�as urinarias, sitio no especificado         6047
E147                                                            Hemorragia intraencef�lica, no especificada         5714
