,name,longitud,latitud,regular,premium,diesel
2039,"ESTACION DE SERVICIO CALAFIA, S.A. DE C.V.",-116.9214,32.47641,,19.99,
2040,"DIGEPE, S.A. DE C.V. (07356)",-99.74484,20.3037,,20.85,
2041,"Diaz Gas, S.A. de C.V.",-106.4514,31.71947,13.89,15.94,
2042,"COMBU-EXPRESS, S.A. DE C.V.",-103.3042,20.71413,20.44,21.54,20.84
2043,"PETROMAX, S.A. DE C.V.",-98.29977,26.03787,14.65,16.6,
2044,"ESTACION RAEL, S. DE R.L. DE C.V.",-117.0715,32.51342,19.09,20.49,
2045,MULTISERVICIOS LA PILARICA SA DE CV ,-108.9685,25.7558,20.52,22.92,22.26
2046,"PETROMAX, S.A. DE C.V.",-100.2918,25.77202,19.99,,
2047,"ESTACION RAEL, S. DE R.L. DE C.V.",-116.6079,31.86546,,20.39,
2048,INMOBILIARIA ESCOGAS SA DE CV,-117.0457,32.31202,18.59,,
2049,"PETROMAX, S.A. DE C.V.",-100.184,25.65562,19.99,,
2050,AUTOSERVICIO BERLANGA S.A. DE C.V.,-101.4189,26.92554,19.78,21.4,
2051,"PETROMAX, S.A. DE C.V.",-97.44485,25.83842,14.65,16.6,
2052,"GRUPO OCTANO, S.A. DE C.V.",-105.1947,21.4739,20.91,,21.59
2053,"CIRCULO DOS, S.A. DE C.V.",-117.0271,32.5279,19.19,20.59,
2054,"Servicio Sevilla, S.A. de C.V.",-99.1973,19.58616,20.59,,
2055,"PETROMAX, S.A. DE C.V.",-100.2365,25.6788,19.99,,
2056,"GASOLINERA HUITEPEC, S.A. DE C.V.",-92.65437,16.73187,19.8,20.9,21.4
2057,"PETROMAX, S.A. DE C.V.",-98.20425,26.0139,14.65,16.6,
2058,SUPER SERVICIO MIVASA SA DE CV,-104.6217,24.02956,19.99,,
2059,SERVICIO SIERRA DE ARTEAGA SA DE CV,-100.9057,25.57358,20.22,21.6,21.88
2060,COMBUSTIBLES Y LUBRICANTES ATENAS SA DE CV,-106.1008,28.73367,19.75,21,20.9
2061,"GRUPO OCTANO, S.A. DE C.V.",-103.9754,19.77838,20.79,21.87,
2062,Becktrop Operadora SA de CV,-117.0249,32.45102,18.39,20.09,19.99
2063,YLIGARZA S.A. DE C.V.,-100.2726,25.73174,19.97,21.7,
2064,"ESTACION LA VICTORIA, S.A. DE C.V.",-117.0466,32.53171,19.09,20.49,
2065,"PETROMAX, S.A. DE C.V.",-100.4652,25.68592,19.89,,
2066,"ESTACION LA VICTORIA, S.A. DE C.V.",-117.0226,32.51045,,20.49,
2067,"PETROMAX, S.A. DE C.V.",-100.1466,25.66026,19.99,,
2068,"PETROMAX, S.A. DE C.V.",-100.9274,25.44151,,21,
2069,"PETROMAX, S.A. DE C.V.",-98.32712,26.06297,14.65,16.6,
2070,RAMCAL SA DE CV,-104.2109,19.03549,19.8,21.11,21.6
2071,"Gasomac, S.A. de C.V.",-99.13844,19.3231,,21.59,
2072,"Autoconsumo los Pinos, S.A. de C.V. ",-99.16505,19.30205,,21.59,
2073,"SERVICIOS DEL VALLE DEL FUERTE, S.A. DE C.V.",-109.0001,25.77298,20.49,22.9,
2074,servicios energeticos plaza industrial sa de cv ,-101.1169,25.2563,20.25,21.49,21.58
2075,"SERVICIOS GASOLINEROS DE MEXICO, S.A. DE C.V.",-102.2834,22.12339,20.05,,
2076,OLEUM GAS S.A. DE C.V.,-93.09296,16.73384,19.12,,
2077,"SERVICIOS DEL VALLE DEL FUERTE, S.A. DE C.V.",-109.2961,25.96616,19.74,,21.45
2078,"Gasolinería Cid, S.A. de C.V.",-99.36308,19.64046,20.39,21.39,
2079,"Gasolinería Perseo, S.A. de C.V.",-99.11606,19.74912,,21.49,
2080,MULTISERVICIOS LA PILARICA SA DE CV ,-109.2856,25.9744,20.52,22.92,22.26
2081,"PETROMAX, S.A. DE C.V.",-98.35571,26.06025,14.65,16.6,
2082,"PETROMAX, S.A. DE C.V.",-100.1759,25.7805,19.99,,
2083,"PETROMAX, S.A. DE C.V.",-103.4519,20.73139,20.2,,
2084,"SERVICIO AVENIDA, S.A. DE C.V.",-102.3053,21.89668,19.69,21.04,21.8
2085,"ESTACION DE SERVICIO LEON, S.DER.L. DE C.V.",-101.6677,21.09879,20.29,21.89,21.99
2086,"PETROMAX, S.A. DE C.V.",-115.3865,32.63511,17.95,,
2087,"ESTACION DE SERVICIO PITS, S. DE R.L. DE C.V.",-116.7158,32.49946,18.89,19.99,20.15
2088,GRUPO GOCALVI SA DE CV,-106.3973,31.5649,,,18.44
2089,"Socombumex, S.A. de C.V.",-104.288,19.07791,,,21.69
2090,"Gasolinería Segovia, S.A. de C.V.",-98.99508,19.60755,,21.49,
2091,SERVICIO LOS OLIVOS S.A. DE C.V.(E4394),-116.5917,31.7838,,19.48,20.19
2092,MULTISERVICIOS LA PILARICA SA DE CV ,-108.9855,25.80147,20.52,22.92,22.26
2093,"GRUPO OCTANO, S.A. DE C.V.",-100.9704,19.79169,,,22.59
2094,"PETROMAX, S.A. DE C.V.",-100.2963,25.82625,19.99,,
2095,"GRUPO OCTANO, S.A. DE C.V.",-104.8868,21.52222,20.91,22.58,21.59
2096,"Inmobiliaria Corredor Tultitlán, S.A. de C.V. ",-99.10838,19.67871,,21.49,
2097,"PETROMAX, S.A. DE C.V.",-115.4722,32.60843,17.95,,
2098,"PETROMAX, S.A. DE C.V.",-99.10677,19.63609,20.35,21.4,
2099,"GRUPO OCTANO, S.A. DE C.V.",-104.8489,21.47011,20.91,22.58,21.59
2100,"PETROMAX, S.A. DE C.V.",-100.2104,25.73217,19.99,,
2101,"CRUCERO LAS GOLONDRINAS,SA DE CV",-103.7721,19.14014,19.99,20.99,21.25
2102,Becktrop Operadora SA de CV,-116.953,32.49127,18.86,19.99,19.99
2103,"PETROMAX, S.A. DE C.V.",-100.1302,25.70155,19.99,,
2104,"ESTACION RAEL, S. DE R.L. DE C.V.",-116.9663,32.51104,,20.49,
2105,"GRUPO OCTANO, S.A. DE C.V.",-105.2828,21.54249,20.91,22.58,21.59
2106,ESTACION DE SERVICIO AUTOMOTRIZ DEL NORTE SA DE CV,-102.2924,21.91625,19.89,20.99,21.9
2107,"SERVICIO CIBOLA, S.A. DE C.V.",-100.9351,29.30929,,,20.57
2108,"PETROMAX, S.A. DE C.V.",-103.3228,25.53419,,21.3,
2109,MULTISERVICIOS SIGAS S.A. DE C.V.,-102.4106,22.14957,,21.66,
2110,"SERVICIOS DEL VALLE DEL FUERTE, S.A. DE C.V.",-109.0138,25.73669,20.53,22.92,22.15
2111,"PETROMAX, S.A. DE C.V.",-98.38633,26.04917,14.65,16.6,
2112,"Servicio Vega Atizapan, S.A. de C.V.",-99.25086,19.55827,,21.49,
2113,"ESTACION RAEL, S. DE R.L. DE C.V.",-116.977,32.50455,19.09,20.59,
2114,"PETROMAX, S.A. DE C.V.",-100.1915,25.72328,19.99,,
2115,"ESTACION RAMOS, S.A. DE C.V.",-100.941,25.52635,19.95,21.41,
2116,"PETROMAX, S.A. DE C.V.",-97.53786,25.85833,14.65,16.6,
2117,"ESTACION DE SERVICIO LEON, S.DER.L. DE C.V.",-101.6691,21.12003,,22.39,
2118,"GRUPO OCTANO, S.A. DE C.V.",-100.7924,19.90187,,,23.06
2119,"PETROMAX, S.A. DE C.V.",-100.1696,25.64484,19.99,,
2120,"PETROLIFEROS LA TERRITORIAL, S. DE R.L. DE C.V.",-110.93,31.27435,16.49,18.49,
2121,"PETROMAX, S.A. DE C.V.",-100.3682,25.67366,19.99,,
2122,"PETROMAX, S.A. DE C.V.",-100.1685,25.71746,19.99,,
2123,SERVICIO DEL CENTRO HIDALGO SA DE CV ,-101.4349,20.94723,20.58,22.25,21.8
2124,"SERV.EL TRIANGULO DEL REFUGIO,S.DER.L.DEC.V.",-117.0602,32.53289,19.09,20.49,
2125,AMC COMBUSTIBLES Y LUBRICANTES S.A. DE C.V.,-101.4206,26.91485,19.89,21.39,21.45
2126,"SERVICIO RAMA, S.A. DE C.V.",-100.5448,28.70405,15.58,,
2127,"PETROMAX, S.A. DE C.V.",-100.2944,25.81873,19.99,,
2128,Servicio Ravello S.A de C.V.,-116.917,32.49886,20.01,21.5,
2129,"ESTACION RAEL, S. DE R.L. DE C.V.",-115.3992,32.63718,18.59,19.69,
2130,"PETROMAX, S.A. DE C.V.",-106.0694,28.65146,,,20.99
2131,"INMOBILIARIA ANADECA, S.A. DE C.V.",-117.1202,32.51353,19.09,20.49,
