       ORIGIN_PORT  DESTINATION_PORT
10135        226.0             227.0
10136        189.0             190.0
10140       1712.0            1710.0
10141         67.0              67.0
10146         82.0              82.0
10154         28.0              28.0
10155        140.0             140.0
10157        113.0             114.0
10158        232.0             232.0
10165          9.0               9.0
10170         29.0              29.0
10185        268.0             269.0
10208        213.0             212.0
10257        691.0             692.0
10268         54.0              54.0
10279        290.0             291.0
10299       1157.0            1158.0
10333         51.0              50.0
10372         56.0              55.0
10397      30824.0           30823.0
10408        249.0             248.0
10423       3803.0            3797.0
10431        268.0             266.0
10434        107.0             107.0
10469        114.0             114.0
10529       1622.0            1618.0
10551         79.0              79.0
10561        172.0             172.0
10577         58.0              58.0
10581         25.0              24.0
10599       1084.0            1087.0
10620        249.0             249.0
10627        324.0             324.0
10631         58.0              58.0
10685        225.0             225.0
10693       4240.0            4237.0
10713       1097.0            1095.0
10721       9607.0            9603.0
10728         83.0              83.0
10731         81.0              81.0
10732         90.0              89.0
10739         50.0              50.0
10747        192.0             192.0
10754         75.0              75.0
10779         58.0              58.0
10781        621.0             623.0
10785        330.0             331.0
10792       1495.0            1497.0
10800       1672.0            1671.0
10821       7569.0            7562.0
10849        316.0             315.0
10868        412.0             412.0
10874        461.0             461.0
10918         50.0              50.0
10926         58.0              58.0
10980        396.0             395.0
10990        224.0             225.0
10994       1136.0            1138.0
11003        504.0             505.0
11013         54.0              54.0
11042       3041.0            3036.0
11049        211.0             210.0
11057       9030.0            9044.0
11066       2073.0            2072.0
11067        195.0             195.0
11076         58.0              58.0
11097         29.0              29.0
11109        574.0             574.0
11111        115.0             115.0
11122        131.0             131.0
11140        346.0             345.0
11146        214.0             214.0
11150        106.0             106.0
11193       1825.0            1827.0
11203        137.0             137.0
11252        112.0             112.0
11259       5603.0            5604.0
11267        714.0             712.0
11274         83.0              83.0
11278       6442.0            6448.0
11292      17135.0           17117.0
11298      19840.0           19812.0
11308        111.0             112.0
11315         57.0              57.0
11337        211.0             211.0
11413        171.0             170.0
11423        666.0             668.0
11433       9423.0            9424.0
11447         46.0              46.0
11471         58.0              58.0
11481        352.0             353.0
11503          3.0               3.0
11525         50.0              50.0
11537        184.0             184.0
11540        983.0             984.0
11577         54.0              54.0
11587         50.0              50.0
11603        311.0             311.0
11612        378.0             377.0
11617         52.0              52.0
11618       9079.0            9108.0
11624        141.0             141.0
11630        166.0             166.0
11637        498.0             498.0
11638        617.0             617.0
11641        141.0             141.0
11648        115.0             115.0
11695        150.0             149.0
11697       5454.0            5456.0
11721        387.0             389.0
11775        419.0             419.0
11778        170.0             170.0
11823        482.0             482.0
11865         83.0              83.0
11867         58.0              58.0
11884        782.0             782.0
11898         86.0              86.0
11905         57.0              56.0
11921        258.0             257.0
11953        221.0             221.0
11973        288.0             288.0
11977        463.0             463.0
11980         54.0              54.0
11982        349.0             350.0
11986        880.0             881.0
